"Species"
"cymbopetalum costaricense"
"cymbopetalum lanugipetalum"
"solanum circinatum"
"dalbergia retusa"
"daphnopsis americana"
"daphnopsis correae"
"dendropanax arboreus"
"dendropanax globosus"
"dendropanax punctatus"
"dendropanax sessiliflorus"
"desmopsis panamensis"
"dialium guianense"
"dichapetalum axillare"
"diospyros artanthifolia"
"diphysa americana"
"dipteryx oleifera"
"discophora guianensis"
"drypetes coba"
"drypetes aff.amazonica"
"drypetes standleyi"
"duguetia confusa"
"dussia sp.1"
"dussia sp.2"
"dussia sp.3"
"dussia sp.4"
"dussia sp.5"
"dussia sp.6"
"dussia atropurpurea"
"dussia macroprophyllata"
"dussia tessmannii"
"dystovomita paniculata"
"ecclinusa lanceolata"
"elaeagia nitidifolia"
"elaeoluma sp.1"
"elaeis oleifera"
"endlicheria browniana"
"enterolobium cyclocarpum"
"enterolobium schomburgkii"
"erblichia odorata"
"erisma blancoa"
"erythrina costaricensis"
"erythroxylum citrifolium"
"erythroxylum macrophyllum"
"erythroxylum panamense"
"eschweilera sp.3"
"eschweilera sp.6"
"eschweilera amplexifolia"
"eschweilera aff.angustifolia"
"eschweilera calyculata"
"eschweilera jacquelyniae"
"eschweilera panamensis"
"eschweilera pittieri"
"eschweilera sessilis"
"eugenia sp.10"
"eugenia sp.13"
"eugenia sp.16"
"eugenia sp.18"
"eugenia sp.19"
"eugenia sp.20"
"eugenia sp.22"
"eugenia sp.26"
"eugenia sp.27"
"eugenia sp.5"
"eugenia sp.6"
"eugenia sp.7"
"eugenia sp.8"
"eugenia sp.9"
"eugenia austin-smithii"
"eugenia coloradoensis"
"eugenia cricamolensis"
"eugenia galalonensis"
"eugenia nesiotica"
"eugenia octopleura"
"eugenia oerstediana"
"eugenia principium"
"eugenia hiraeifolia"
"eugenia venezuelensis"
"unidentified sp.2"
"euterpe precatoria"
"exostema mexicanum"
"faramea coba"
"faramea luteovirens"
"faramea multiflora"
"faramea occidentalis"
"faramea parvibractea"
"ficus sp.10"
"ficus sp.11"
"ficus sp.12"
"ficus sp.13"
"ficus sp.3"
"ficus sp.4"
"ficus sp.5"
"ficus sp.6"
"ficus sp.8"
"ficus sp.9"
"ficus brevibracteata"
"ficus bullenei"
"ficus colubrinae"
"ficus costaricana"
"ficus citrifolia"
"ficus insipida"
"ficus maxima"
"ficus nymphaeifolia"
"ficus obtusifolia"
"ficus apollinaris"
"ficus pertusa"
"ficus popenoei"
"ficus tonduzii"
"ficus aurea"
"ficus yoponensis"
"fissicalyx fendleri"
"garcinia intermedia"
"garcinia magnifolia"
"garcinia madruno"
"genipa americana"
"genipa williamsii"
"geonoma congesta"
"geonoma cuneata"
"geonoma deversa"
"geonoma interrupta"
"gloeospermum eneidense"
"gloeospermum sphaerocarpum"
"gmelina arborea"
"gonzalagunia sp.1"
"gonzalagunia rudis"
"gordonia brandegeei"
"grias cauliflora"
"guapira costaricana"
"guapira standleyana"
"guarea sp.1"
"guarea sherman"
"guarea sp.4"
"guarea sp.6"
"guarea sp.8"
"guarea glabra"
"guarea grandifolia"
"guarea guidonia"
"guarea kunthiana"
"guarea cf.macrophylla"
"guarea macropetala"
"guarea pterorhachis"
"guarea rhopalocarpa"
"guarea bullata"
"guatteria sp.5"
"guatteria sp.7"
"guatteria alata"
"guatteria aberrans"
"guatteria allenii"
"guatteria amplifolia"
"guatteria dumetorum"
"guatteria sessilicarpa"
"guazuma ulmifolia"
"guettarda crispiflora"
"guettarda foliacea"
"guettarda ramuliflora"
"gustavia sp.1"
"gustavia dubia"
"gustavia fosteri"
"gustavia superba"
"gyranthera darienensis"
"hamelia axillaris"
"hamelia patens"
"hampea appendiculata"
"hasseltia floribunda"
"hedyosmum scaberrimum"
"heisteria acuminata"
"heisteria concinna"
"helicostylis tovarensis"
"heliocarpus americanus"
"henriettella fascicularis"
"henriettea succosa"
"henriettella trachyphylla"
"henriettella tuberculosa"
"hernandia didymantha"
"hernandia stenura"
"herrania nycterodendron"
"herrania purpurea"
"hevea brasiliensis"
"hippotis panamensis"
"hirtella sp.5"
"hirtella americana"
"hirtella guatemalensis"
"hirtella latifolia"
"hirtella racemosa"
"hirtella triandra"
"hirtella tubiflora"
"hortia colombiana"
"humiriastrum diguense"
"hura crepitans"
"hybanthus prunifolius"
"hieronyma alchorneoides"
"hieronyma oblonga"
"hymenolobium mesoamericanum"
"hymenaea courbaril"
"hymenandra pittieri"
"hyperbaena tonduzii"
"inga sp.11"
"inga sp.15"
"inga sp.18"
"inga sp.24"
"inga sp.31"
"inga sp.6"
"inga sp.7"
"inga sp.8"
"inga acrocephala"
"inga alba"
"inga bella"
"inga capitata"
"inga chocoensis"
"inga ciliata"
"inga cocleensis"
"inga dwyeri"
"inga laurina"
"inga filiformis"
"inga goldmanii"
"inga jefensis"
"inga leiocalycina"
"inga mucuna"
"inga multijuga"
"inga marginata"
"inga oerstediana"
"inga polita"
"inga pauciflora"
"inga pezizifera"
"inga punctata"
"inga nobilis"
"inga ruiziana"
"inga acuminata"
"inga sapindoides"
"inga sertulifera"
"inga sierrae"
"inga spectabilis"
"inga aff.stenophylla"
"inga thibaudiana"
"inga umbellifera"
"inga urceolata"
"inga venusta"
"inga vera"
"iriartea deltoidea"
"ixora floribunda"
"jacaranda caucana"
"jacaranda copaia"
"jacaratia costaricensis"
"jacaratia spinosa"
"koanophyllon wetmorei"
"lacistema aggregatum"
"lacmellea panamensis"
"lacmellea speciosa"
"ladenbergia macrocarpa"
"laetia procera"
